type,prob,run,failed_count,performance_ratio_by_transfers,performance_ratio_by_trains,isolated_stations,reachable_pct
random,0.05,0.0,2,0.9296456015492829,0.9040266828129204,1,89.80856247824573
random,0.05,1.0,2,0.9462883326189302,0.9206694138825675,2,87.63661677688826
random,0.05,2.0,2,0.9296456015492829,0.9040266828129204,2,81.26696832579185
random,0.05,3.0,2,0.9168435007264776,0.891224581990115,0,97.65402018795683
random,0.05,4.0,2,0.997526170091655,0.9462883326189302,3,89.73894883397145
random,0.05,5.0,2,1.0000865902562164,0.9488487527834911,2,95.34284719805082
random,0.05,6.0,2,1.0000865902562164,0.9488487527834911,1,93.08736512356421
random,0.05,7.0,2,1.0000865902562164,0.9488487527834911,1,93.08736512356421
random,0.05,8.0,2,0.9168435007264776,0.891224581990115,0,97.65402018795683
random,0.05,9.0,2,0.9328461267549844,0.9072272080186219,0,97.65402018795683
random,0.1,0.0,4,0.9488000984482053,0.9001898423843379,1,87.58788722589628
random,0.1,1.0,4,0.9272922955167291,0.8786820394528618,6,66.2443438914027
random,0.1,2.0,4,0.8819714681364993,0.8576663401045657,0,95.3358858336234
random,0.1,3.0,4,0.8977607258179594,0.8734555977860257,2,81.21127741037243
random,0.1,4.0,4,0.8977607258179594,0.8734555977860257,1,90.82492168465019
random,0.1,5.0,4,0.8622348960346741,0.8379297680027405,3,65.22798468499826
random,0.1,6.0,4,0.8379297680027405,0.8233466911835803,2,83.29968673860077
random,0.1,7.0,4,0.8622348960346741,0.8379297680027405,5,74.13853115210581
random,0.1,8.0,4,0.8786820394528618,0.8543769114209282,4,56.59589279498781
random,0.1,9.0,4,0.892268810102669,0.8679636820707354,3,73.24747650539506
random,0.15,0.0,6,0.7747828275969009,0.7655862926658991,3,89.68325791855204
random,0.15,1.0,6,0.8071413632814008,0.784150025953896,3,73.24051514096763
random,0.15,2.0,6,0.8311857129959503,0.8081943756684455,0,93.04559693699966
random,0.15,3.0,6,0.8278035154657707,0.8048121781382659,3,89.66933518969718
random,0.15,4.0,6,0.8048121781382659,0.791017375741763,2,90.78315349808562
random,0.15,5.0,6,0.8342973347237155,0.8113059973962107,1,78.25965889314305
random,0.15,6.0,6,0.8927264962897862,0.8467438216347765,3,64.61538461538461
random,0.15,7.0,6,0.8737861901207804,0.8278035154657707,10,45.45074834667595
random,0.15,8.0,6,0.8952157936719981,0.8492331190169886,2,71.20779672815873
random,0.15,9.0,6,0.8278035154657707,0.8048121781382659,0,93.04559693699966
random,0.2,0.0,8,0.7458163828422337,0.7371453641930034,2,84.2325095718761
random,0.2,1.0,8,0.8391624103647486,0.7958073171185966,3,65.4855551688131
random,0.2,2.0,8,0.7012399624981809,0.6882334345243354,5,83.11172989906022
random,0.2,3.0,8,0.7998019140461852,0.7564468208000332,15,47.41385311521058
random,0.2,4.0,8,0.7983584603985036,0.7766809137754276,2,84.2325095718761
random,0.2,5.0,8,0.7899761324788094,0.7682985858557335,3,72.16150365471631
random,0.2,6.0,8,0.7770216256938277,0.7553440790707517,3,84.20466411416638
random,0.2,7.0,8,0.7947725172943687,0.7514174240482168,15,40.55690915419422
random,0.2,8.0,8,0.8391624103647486,0.7958073171185966,3,71.11729899060217
random,0.2,9.0,8,0.7450163736368139,0.7233388270137381,16,25.26975287156283
degree,,,1,0.9567652582102404,0.9304894441216636,2,72.96902192829795
degree,,,2,0.9040266828129204,0.888655331571103,2,71.97354681517577
degree,,,3,0.8624909652666807,0.8525061559130213,3,69.03585102680125
degree,,,4,0.8362183686412924,0.8264963174285189,4,63.40410720501218
degree,,,5,0.8240117226226382,0.8098227830148067,6,45.993734772015316
degree,,,6,0.7793007453391969,0.765505942942694,7,35.98329272537417
degree,,,7,0.7337168975451099,0.7203162323599357,15,28.63905325443787
degree,,,8,0.7087999042038775,0.6871223575808014,22,15.231465367211975
betweenness,,,1,0.9567652582102404,0.9304894441216636,2,72.96902192829795
betweenness,,,2,0.9296456015492829,0.9040266828129204,5,55.154890358510265
betweenness,,,3,0.9024302026813176,0.8774681792971696,5,50.19143752175427
betweenness,,,4,0.8579443368821036,0.8336392088501697,8,44.678036895231465
betweenness,,,5,0.8065543124097216,0.7923653728018901,9,42.408632091890006
betweenness,,,6,0.7477252473554641,0.7385287124244623,9,39.49182039679777
betweenness,,,7,0.7203162323599357,0.7113824555698195,10,35.3637312913331
betweenness,,,8,0.6926451860610164,0.683974167411786,11,27.852419074138528
