scenario_type,failure_prob,run,failed_count,failed_stations
random,0.05,0.0,1,SERANGOON
random,0.05,1.0,1,MARINA SOUTH PIER
random,0.05,2.0,1,MARINA SOUTH PIER
random,0.05,3.0,1,PAYA LEBAR
random,0.05,4.0,1,PASIR RIS
random,0.05,5.0,1,CITY HALL
random,0.05,6.0,1,JURONG EAST
random,0.05,7.0,1,JURONG EAST
random,0.05,8.0,1,HARBOURFRONT
random,0.05,9.0,1,MARINA SOUTH PIER
random,0.1,0.0,1,BISHAN
random,0.1,1.0,1,MARINA SOUTH PIER
random,0.1,2.0,1,PUNGGOL
random,0.1,3.0,1,PUNGGOL
random,0.1,4.0,1,BISHAN
random,0.1,5.0,1,DHOBY GHAUT
random,0.1,6.0,1,RAFFLES PLACE
random,0.1,7.0,1,OUTRAM PARK
random,0.1,8.0,1,JURONG EAST
random,0.1,9.0,1,BUONA VISTA
random,0.15,0.0,2,PAYA LEBAR; TUAS LINK
random,0.15,1.0,2,DHOBY GHAUT; OUTRAM PARK
random,0.15,2.0,2,BUONA VISTA; CITY HALL
random,0.15,3.0,2,BUONA VISTA; MARINA SOUTH PIER
random,0.15,4.0,2,HARBOURFRONT; MARINA SOUTH PIER
random,0.15,5.0,2,HARBOURFRONT; JURONG EAST
random,0.15,6.0,2,HARBOURFRONT; JURONG EAST
random,0.15,7.0,2,PAYA LEBAR; RAFFLES PLACE
random,0.15,8.0,2,HARBOURFRONT; TUAS LINK
random,0.15,9.0,2,BISHAN; PAYA LEBAR
random,0.2,0.0,3,BISHAN; MARINA SOUTH PIER; OUTRAM PARK
random,0.2,1.0,3,BUONA VISTA; SERANGOON; TUAS LINK
random,0.2,2.0,3,BISHAN; DHOBY GHAUT; PUNGGOL
random,0.2,3.0,3,CITY HALL; MARINA SOUTH PIER; PUNGGOL
random,0.2,4.0,3,BUONA VISTA; OUTRAM PARK; PASIR RIS
random,0.2,5.0,3,DHOBY GHAUT; MARINA SOUTH PIER; SERANGOON
random,0.2,6.0,3,JURONG EAST; PAYA LEBAR; SERANGOON
random,0.2,7.0,3,CITY HALL; DHOBY GHAUT; OUTRAM PARK
random,0.2,8.0,3,JURONG EAST; PUNGGOL; TUAS LINK
random,0.2,9.0,3,BISHAN; DHOBY GHAUT; TUAS LINK
degree,,,1,DHOBY GHAUT
degree,,,2,DHOBY GHAUT; PAYA LEBAR
degree,,,3,BUONA VISTA; DHOBY GHAUT; PAYA LEBAR
degree,,,4,BISHAN; BUONA VISTA; DHOBY GHAUT; PAYA LEBAR
degree,,,5,BISHAN; BUONA VISTA; DHOBY GHAUT; PAYA LEBAR; SERANGOON
degree,,,6,BISHAN; BUONA VISTA; DHOBY GHAUT; OUTRAM PARK; PAYA LEBAR; SERANGOON
degree,,,7,BISHAN; BUONA VISTA; DHOBY GHAUT; JURONG EAST; OUTRAM PARK; PAYA LEBAR; SERANGOON
degree,,,8,BISHAN; BUONA VISTA; CITY HALL; DHOBY GHAUT; JURONG EAST; OUTRAM PARK; PAYA LEBAR; SERANGOON
betweenness,,,1,DHOBY GHAUT
betweenness,,,2,DHOBY GHAUT; OUTRAM PARK
betweenness,,,3,BISHAN; DHOBY GHAUT; OUTRAM PARK
betweenness,,,4,BISHAN; DHOBY GHAUT; OUTRAM PARK; SERANGOON
betweenness,,,5,BISHAN; DHOBY GHAUT; OUTRAM PARK; PAYA LEBAR; SERANGOON
betweenness,,,6,BISHAN; DHOBY GHAUT; OUTRAM PARK; PAYA LEBAR; RAFFLES PLACE; SERANGOON
betweenness,,,7,BISHAN; DHOBY GHAUT; JURONG EAST; OUTRAM PARK; PAYA LEBAR; RAFFLES PLACE; SERANGOON
betweenness,,,8,BISHAN; BUONA VISTA; DHOBY GHAUT; JURONG EAST; OUTRAM PARK; PAYA LEBAR; RAFFLES PLACE; SERANGOON
