type,prob,run,failed_count,performance_ratio_by_transfers,performance_ratio_by_trains,isolated_stations,reachable_pct,delta_transfers,delta_trains
random,0.05,0.0,1,1.070537251825781,1.0,1,87.68115942028986,1,2
random,0.05,1.0,1,1.070537251825781,1.0,0,97.84946236559139,1,2
random,0.05,2.0,1,1.070537251825781,1.0,0,97.84946236559139,1,2
random,0.05,3.0,1,1.070537251825781,1.0,1,83.94109396914446,1,2
random,0.05,4.0,1,1.070537251825781,1.0,0,97.84946236559139,1,2
random,0.05,5.0,1,0.9764875827247397,0.9647313740871095,0,97.84946236559139,3,4
random,0.05,6.0,1,1.070537251825781,1.0,1,80.38803179055634,1,2
random,0.05,7.0,1,1.070537251825781,1.0,1,80.38803179055634,1,2
random,0.05,8.0,1,1.070537251825781,1.0,0,97.84946236559139,1,2
random,0.05,9.0,1,1.070537251825781,1.0,0,97.84946236559139,1,2
random,0.1,0.0,1,1.070537251825781,1.0,0,97.84946236559139,1,2
random,0.1,1.0,1,1.070537251825781,1.0,0,97.84946236559139,1,2
random,0.1,2.0,1,1.070537251825781,1.0,0,97.84946236559139,1,2
random,0.1,3.0,1,1.070537251825781,1.0,0,97.84946236559139,1,2
random,0.1,4.0,1,1.070537251825781,1.0,0,97.84946236559139,1,2
random,0.1,5.0,1,0.9287554211998479,0.9169992125622176,0,97.84946236559139,3,4
random,0.1,6.0,1,1.0,0.9764875827247397,1,93.64188873305282,2,3
random,0.1,7.0,1,1.0,0.9764875827247397,0,97.84946236559139,2,3
random,0.1,8.0,1,1.070537251825781,1.0,1,80.38803179055634,1,2
random,0.1,9.0,1,1.0,0.9764875827247397,0,97.84946236559139,2,3
random,0.15,0.0,2,1.070537251825781,1.0,1,81.97755960729313,1,2
random,0.15,1.0,2,0.9227889010092363,0.9110326923716062,0,91.5614773258532,3,4
random,0.15,2.0,2,0.9647313740871095,0.9576776489045313,0,95.72230014025246,4,5
random,0.15,3.0,2,1.0,0.9764875827247397,0,95.72230014025246,2,3
random,0.15,4.0,2,1.070537251825781,1.0,0,95.72230014025246,1,2
random,0.15,5.0,2,1.070537251825781,1.0,1,78.47124824684431,1,2
random,0.15,6.0,2,1.070537251825781,1.0,1,78.47124824684431,1,2
random,0.15,7.0,2,1.070537251825781,1.0,2,78.1439925198691,1,2
random,0.15,8.0,2,1.070537251825781,1.0,0,95.72230014025246,1,2
random,0.15,9.0,2,1.070537251825781,1.0,1,81.97755960729313,1,2
random,0.2,0.0,3,1.0,0.9764875827247397,4,46.3768115942029,2,3
random,0.2,1.0,3,1.070537251825781,1.0,1,83.68396446937821,1,2
random,0.2,2.0,3,0.9463013182844966,0.9227889010092363,0,81.83730715287517,2,3
random,0.2,3.0,3,1.0,0.9764875827247397,0,93.61851332398317,2,3
random,0.2,4.0,3,1.0,0.9764875827247397,1,72.65077138849931,2,3
random,0.2,5.0,3,1.0168385701102776,0.9463013182844966,1,74.33380084151473,1,2
random,0.2,6.0,3,1.070537251825781,1.0,3,51.77653108929407,1,2
random,0.2,7.0,3,0.9386300780394248,0.9151176607641643,2,81.6503038803179,2,3
random,0.2,8.0,3,1.070537251825781,1.0,0,78.28424497428705,1,2
random,0.2,9.0,3,0.9227889010092363,0.9110326923716062,0,81.83730715287517,3,4
degree,,,1,0.9287554211998479,0.9169992125622176,0,97.84946236559139,3,4
degree,,,2,0.9227889010092363,0.9110326923716062,1,69.37821411874708,3,4
degree,,,3,0.9151176607641643,0.9033614521265344,1,39.10705937353904,3,4
degree,,,4,0.9284017577126622,0.9048893404374019,5,17.53155680224404,2,3
degree,,,5,0.9140821092551946,0.8905696919799343,4,15.614773258532026,2,3
degree,,,6,inf,0.9631398883947743,5,11.196820944366527,0,1
degree,,,7,inf,0.9273407672511054,4,6.5918653576437585,0,1
degree,,,8,inf,0.8557425249637678,4,6.03085553997195,0,1
betweenness,,,1,0.9287554211998479,0.9169992125622176,0,97.84946236559139,3,4
betweenness,,,2,0.9227889010092363,0.9110326923716062,0,91.5614773258532,3,4
betweenness,,,3,0.9151176607641643,0.9033614521265344,4,38.80317905563347,3,4
betweenness,,,4,0.9989390095384432,0.9284017577126622,5,30.15427769985975,1,2
betweenness,,,5,0.9846193610809756,0.9140821092551946,5,23.842917251051894,1,2
betweenness,,,6,0.9631398883947743,0.8926026365689934,4,23.258532024310423,1,2
betweenness,,,7,inf,0.9273407672511054,5,9.1164095371669,0,1
betweenness,,,8,inf,0.8557425249637678,0,6.007480130902291,0,1
