type,prob,run,failed_count,performance_ratio,isolated_stations,reachable_pct
random,0.05,0.0,11,0.8529287253652802,4,90.73908893166205
random,0.05,1.0,11,0.9323457120078968,11,91.25393174029388
random,0.05,2.0,11,0.7781371093900733,5,90.20703253368386
random,0.05,3.0,11,0.9400091985519289,5,91.25236686853513
random,0.05,4.0,11,0.8580377163946348,6,91.25862635557016
random,0.05,5.0,11,0.846542486578587,2,92.859490164781
random,0.05,6.0,11,0.8539589582261525,0,93.94081655008371
random,0.05,7.0,11,0.8326387324201293,1,93.39937092155299
random,0.05,8.0,11,0.9349002075225743,6,89.6702815204294
random,0.05,9.0,11,0.8352053921991621,0,93.94081655008371
random,0.1,0.0,23,0.7349368003329411,8,78.52213511102765
random,0.1,1.0,23,0.6798697755751006,35,62.54009983881821
random,0.1,2.0,23,0.7323017297637229,9,80.40467583681517
random,0.1,3.0,23,0.7104227405759134,10,70.45991580989937
random,0.1,4.0,23,0.7658004277266385,20,72.2501291019201
random,0.1,5.0,23,0.886134191800497,12,76.94630924995697
random,0.1,6.0,23,0.7221741693832343,4,85.46703597640173
random,0.1,7.0,23,0.7851043896371174,15,75.96826440073235
random,0.1,8.0,23,0.7022971854727685,10,79.88826815642457
random,0.1,9.0,23,0.7570458024326852,16,72.67107960502636
random,0.15,0.0,35,0.6305977110667506,17,66.638498975009
random,0.15,1.0,35,0.6964624557569703,6,73.58339984038308
random,0.15,2.0,35,0.7310897070822129,35,50.20108602100058
random,0.15,3.0,35,0.5960643958213203,31,52.30740340829069
random,0.15,4.0,35,0.6974053161173808,10,74.52388776739745
random,0.15,5.0,35,0.7157877412923835,5,75.46124595089432
random,0.15,6.0,35,0.642182709989192,36,49.302849631472704
random,0.15,7.0,35,0.665586052036442,20,64.66206594369591
random,0.15,8.0,35,0.6204435233513971,26,64.77160696680907
random,0.15,9.0,35,0.6498269100978523,22,66.222243087179
random,0.2,0.0,47,0.5552775160442684,22,55.23684334068824
random,0.2,1.0,47,0.5933054062166484,13,66.07045052657935
random,0.2,2.0,47,0.5855101952730705,23,63.00330187941098
random,0.2,3.0,47,0.6062570777416205,25,59.914245027619984
random,0.2,4.0,47,0.6282468237734483,28,55.39959000359921
random,0.2,5.0,47,0.6897922370188028,10,65.62759181885045
random,0.2,6.0,47,0.6346019906648059,13,65.61663771653913
random,0.2,7.0,47,0.5718539457378637,31,52.56717212024474
random,0.2,8.0,47,0.595817436336047,23,60.322676556656184
random,0.2,9.0,47,0.5603683006969691,35,44.547204356602975
degree,,,1,0.9820133153566182,1,98.88424643600457
degree,,,2,0.9652969808257722,2,97.77475235904419
degree,,,3,0.8582531171881534,4,96.12381265355305
degree,,,4,0.7684624878973607,5,86.22443390764127
degree,,,5,0.7550158017181446,5,85.70646135549191
degree,,,6,0.7428433128467467,12,81.14798992222588
degree,,,7,0.7119019174663153,13,80.14490712486112
degree,,,8,0.6997983328879981,21,75.73196876515969
betweenness,,,1,0.9858501993334645,0,99.4413407821229
betweenness,,,2,0.7991736863806641,1,89.36356665571256
betweenness,,,3,0.7704935029235124,1,88.83620487301066
betweenness,,,4,0.7622583218549388,1,88.3104079620675
betweenness,,,5,0.7463358453822767,2,87.26350875545748
betweenness,,,6,0.724631332049994,6,84.1666275448727
betweenness,,,7,0.7164413934610616,6,83.65491447975838
betweenness,,,8,0.690455986744891,7,82.129164514968
