scenario_type,failure_prob,run,failed_count,failed_stations
random,0.05,0.0,1,BAYFRONT
random,0.05,1.0,1,CHANGI AIRPORT
random,0.05,2.0,1,TANAH MERAH
random,0.05,3.0,1,PASIR RIS
random,0.05,4.0,1,PAYA LEBAR
random,0.05,5.0,1,OUTRAM PARK
random,0.05,6.0,1,BUGIS
random,0.05,7.0,1,WOODLANDS SOUTH
random,0.05,8.0,1,HARBOURFRONT
random,0.05,9.0,1,BOTANIC GARDENS
random,0.1,0.0,3,BISHAN; MARINA BAY; MARINA SOUTH PIER
random,0.1,1.0,3,BUONA VISTA; CITY HALL; DHOBY GHAUT
random,0.1,2.0,3,CHINATOWN; WOODLANDS; WOODLANDS SOUTH
random,0.1,3.0,3,LITTLE INDIA; NEWTON; PASIR RIS
random,0.1,4.0,3,BOTANIC GARDENS; CHINATOWN; PAYA LEBAR
random,0.1,5.0,3,MARINA BAY; PROMENADE; WOODLANDS NORTH
random,0.1,6.0,3,MARINA SOUTH PIER; SERANGOON; WOODLANDS NORTH
random,0.1,7.0,3,NEWTON; TANAH MERAH; WOODLANDS NORTH
random,0.1,8.0,3,BOTANIC GARDENS; SERANGOON; WOODLANDS NORTH
random,0.1,9.0,3,CITY HALL; RAFFLES PLACE; TAMPINES
random,0.15,0.0,4,BAYFRONT; BISHAN; CHANGI AIRPORT; WOODLANDS
random,0.15,1.0,4,JURONG EAST; TANAH MERAH; TUAS LINK; WOODLANDS SOUTH
random,0.15,2.0,4,CITY HALL; MACPHERSON; TANAH MERAH; WOODLANDS
random,0.15,3.0,4,BAYFRONT; BISHAN; BUONA VISTA; TUAS LINK
random,0.15,4.0,4,BOTANIC GARDENS; CHANGI AIRPORT; PROMENADE; WOODLANDS NORTH
random,0.15,5.0,4,BISHAN; CITY HALL; EXPO; WOODLANDS NORTH
random,0.15,6.0,4,CITY HALL; DHOBY GHAUT; JURONG EAST; SERANGOON
random,0.15,7.0,4,BUKIT PANJANG; MACPHERSON; RAFFLES PLACE; SERANGOON
random,0.15,8.0,4,BAYFRONT; BUONA VISTA; MACPHERSON; SERANGOON
random,0.15,9.0,4,BOTANIC GARDENS; OUTRAM PARK; PASIR RIS; TUAS LINK
random,0.2,0.0,6,BUONA VISTA; MACPHERSON; MARINA BAY; PROMENADE; PUNGGOL; TAMPINES
random,0.2,1.0,6,BUONA VISTA; HARBOURFRONT; JURONG EAST; MACPHERSON; MARINA SOUTH PIER; TUAS LINK
random,0.2,2.0,6,BOTANIC GARDENS; LITTLE INDIA; MACPHERSON; PROMENADE; RAFFLES PLACE; TUAS LINK
random,0.2,3.0,6,BAYFRONT; EXPO; LITTLE INDIA; MACPHERSON; MARINA SOUTH PIER; WOODLANDS
random,0.2,4.0,6,BAYFRONT; BISHAN; CHANGI AIRPORT; JURONG EAST; PAYA LEBAR; PUNGGOL
random,0.2,5.0,6,BISHAN; CHANGI AIRPORT; EXPO; PASIR RIS; PROMENADE; TUAS LINK
random,0.2,6.0,6,BUKIT PANJANG; EXPO; LITTLE INDIA; PROMENADE; TAMPINES; WOODLANDS NORTH
random,0.2,7.0,6,JURONG EAST; OUTRAM PARK; PUNGGOL; RAFFLES PLACE; TAMPINES; WOODLANDS NORTH
random,0.2,8.0,6,BAYFRONT; CHANGI AIRPORT; JURONG EAST; MARINA BAY; PAYA LEBAR; WOODLANDS
random,0.2,9.0,6,MACPHERSON; PASIR RIS; RAFFLES PLACE; TUAS LINK; WOODLANDS NORTH; WOODLANDS SOUTH
degree,,,1,DHOBY GHAUT
degree,,,2,DHOBY GHAUT; PAYA LEBAR
degree,,,3,DHOBY GHAUT; PAYA LEBAR; TAMPINES
degree,,,4,DHOBY GHAUT; PAYA LEBAR; TAMPINES; WOODLANDS
degree,,,5,BUONA VISTA; DHOBY GHAUT; PAYA LEBAR; TAMPINES; WOODLANDS
degree,,,6,BUONA VISTA; DHOBY GHAUT; MACPHERSON; PAYA LEBAR; TAMPINES; WOODLANDS
degree,,,7,BUONA VISTA; DHOBY GHAUT; MACPHERSON; PAYA LEBAR; PROMENADE; TAMPINES; WOODLANDS
degree,,,8,BUGIS; BUONA VISTA; DHOBY GHAUT; MACPHERSON; PAYA LEBAR; PROMENADE; TAMPINES; WOODLANDS
betweenness,,,1,MACPHERSON
betweenness,,,2,BISHAN; MACPHERSON
betweenness,,,3,BISHAN; MACPHERSON; SERANGOON
betweenness,,,4,BISHAN; CHINATOWN; MACPHERSON; SERANGOON
betweenness,,,5,BISHAN; CHINATOWN; MACPHERSON; OUTRAM PARK; SERANGOON
betweenness,,,6,BISHAN; CHINATOWN; MACPHERSON; OUTRAM PARK; SERANGOON; WOODLANDS
betweenness,,,7,BISHAN; CHINATOWN; MACPHERSON; OUTRAM PARK; SERANGOON; TAMPINES; WOODLANDS
betweenness,,,8,BISHAN; BUONA VISTA; CHINATOWN; MACPHERSON; OUTRAM PARK; SERANGOON; TAMPINES; WOODLANDS
