scenario_type,failure_prob,run,failed_count,failed_stations
random,0.05,0.0,1,CHOA CHU KANG
random,0.05,1.0,1,RENJONG
random,0.05,2.0,1,BUONA VISTA
random,0.05,3.0,1,CHOA CHU KANG
random,0.05,4.0,1,JURONG EAST
random,0.05,5.0,1,SENGKANG
random,0.05,6.0,1,SOO TECK
random,0.05,7.0,1,PUNGGOL
random,0.05,8.0,1,SENGKANG
random,0.05,9.0,1,BUONA VISTA
random,0.1,0.0,2,DHOBY GHAUT; RENJONG
random,0.1,1.0,2,BISHAN; RENJONG
random,0.1,2.0,2,DAMAI; MARINA SOUTH PIER
random,0.1,3.0,2,DHOBY GHAUT; MARINA SOUTH PIER
random,0.1,4.0,2,OUTRAM PARK; SERANGOON
random,0.1,5.0,2,RAFFLES PLACE; SENGKANG
random,0.1,6.0,2,DAMAI; MARINA SOUTH PIER
random,0.1,7.0,2,BISHAN; SOO TECK
random,0.1,8.0,2,PUNGGOL; SENGKANG
random,0.1,9.0,2,DAMAI; PUNGGOL
random,0.15,0.0,3,OUTRAM PARK; RENJONG; SENGKANG
random,0.15,1.0,3,DHOBY GHAUT; PASIR RIS; SERANGOON
random,0.15,2.0,3,CHOA CHU KANG; DHOBY GHAUT; MARINA SOUTH PIER
random,0.15,3.0,3,MARINA SOUTH PIER; PAYA LEBAR; SENJA
random,0.15,4.0,3,CITY HALL; JURONG EAST; MARINA SOUTH PIER
random,0.15,5.0,3,DHOBY GHAUT; SERANGOON; TUAS LINK
random,0.15,6.0,3,PASIR RIS; PAYA LEBAR; SERANGOON
random,0.15,7.0,3,BISHAN; BUONA VISTA; PUNGGOL
random,0.15,8.0,3,BUONA VISTA; PASIR RIS; SENJA
random,0.15,9.0,3,BUONA VISTA; CITY HALL; PAYA LEBAR
random,0.2,0.0,4,CHOA CHU KANG; DHOBY GHAUT; HARBOURFRONT; RENJONG
random,0.2,1.0,4,BUONA VISTA; DAMAI; JURONG EAST; MARINA SOUTH PIER
random,0.2,2.0,4,BUONA VISTA; CITY HALL; OUTRAM PARK; SERANGOON
random,0.2,3.0,4,CHOA CHU KANG; PUNGGOL; SERANGOON; SOO TECK
random,0.2,4.0,4,CITY HALL; OUTRAM PARK; RENJONG; SENGKANG
random,0.2,5.0,4,HARBOURFRONT; OUTRAM PARK; RAFFLES PLACE; SOO TECK
random,0.2,6.0,4,CHOA CHU KANG; DHOBY GHAUT; RANGGUNG; TUAS LINK
random,0.2,7.0,4,RENJONG; SENGKANG; SOO TECK; TUAS LINK
random,0.2,8.0,4,BISHAN; DHOBY GHAUT; OUTRAM PARK; SOO TECK
random,0.2,9.0,4,DHOBY GHAUT; OUTRAM PARK; RANGGUNG; SENGKANG
degree,,,1,DHOBY GHAUT
degree,,,2,DHOBY GHAUT; PAYA LEBAR
degree,,,3,BUONA VISTA; DHOBY GHAUT; PAYA LEBAR
degree,,,4,BISHAN; BUONA VISTA; DHOBY GHAUT; PAYA LEBAR
degree,,,5,BISHAN; BUONA VISTA; DHOBY GHAUT; PAYA LEBAR; SENGKANG
degree,,,6,BISHAN; BUONA VISTA; DHOBY GHAUT; PAYA LEBAR; SENGKANG; SERANGOON
degree,,,7,BISHAN; BUONA VISTA; DHOBY GHAUT; OUTRAM PARK; PAYA LEBAR; SENGKANG; SERANGOON
degree,,,8,BISHAN; BUONA VISTA; CHOA CHU KANG; DHOBY GHAUT; OUTRAM PARK; PAYA LEBAR; SENGKANG; SERANGOON
betweenness,,,1,SERANGOON
betweenness,,,2,SENGKANG; SERANGOON
betweenness,,,3,BISHAN; SENGKANG; SERANGOON
betweenness,,,4,BISHAN; DHOBY GHAUT; SENGKANG; SERANGOON
betweenness,,,5,BISHAN; DHOBY GHAUT; PUNGGOL; SENGKANG; SERANGOON
betweenness,,,6,BISHAN; BUONA VISTA; DHOBY GHAUT; PUNGGOL; SENGKANG; SERANGOON
betweenness,,,7,BISHAN; BUONA VISTA; DHOBY GHAUT; OUTRAM PARK; PUNGGOL; SENGKANG; SERANGOON
betweenness,,,8,BISHAN; BUONA VISTA; CHOA CHU KANG; DHOBY GHAUT; OUTRAM PARK; PUNGGOL; SENGKANG; SERANGOON
