type,prob,run,failed_count,performance_ratio_by_transfers,performance_ratio_by_trains,isolated_stations,reachable_pct,delta_transfers,delta_trains
random,0.05,0.0,1,1.0783284333175842,1.0294984975524735,1,81.84380504991192,2,3
random,0.05,1.0,1,1.0244149678825554,1.0,0,98.47328244274809,3,4
random,0.05,2.0,1,1.0294984975524735,1.0050835296699179,0,98.47328244274809,3,4
random,0.05,3.0,1,1.0783284333175842,1.0294984975524735,1,81.84380504991192,2,3
random,0.05,4.0,1,1.0294984975524735,1.0050835296699179,1,85.68408690546096,3,4
random,0.05,5.0,1,1.045285490463118,0.9964555546980071,5,63.20610687022901,2,3
random,0.05,6.0,1,1.0244149678825554,1.0,0,98.47328244274809,3,4
random,0.05,7.0,1,0.9964555546980071,0.9720405868154517,2,80.11743981209631,3,4
random,0.05,8.0,1,1.045285490463118,0.9964555546980071,5,63.20610687022901,2,3
random,0.05,9.0,1,1.0294984975524735,1.0050835296699179,0,98.47328244274809,3,4
random,0.1,0.0,2,0.9720405868154517,0.9573916060859184,0,96.9583088667058,4,5
random,0.1,1.0,2,1.0050835296699179,0.9904345489403846,0,96.9583088667058,4,5
random,0.1,2.0,2,1.0244149678825554,1.0,0,96.9583088667058,3,4
random,0.1,3.0,2,0.9720405868154517,0.9573916060859184,0,96.9583088667058,4,5
random,0.1,4.0,2,1.0843362411093054,1.0355063053441944,6,61.28009395184968,2,3
random,0.1,5.0,2,1.0482893943589786,0.9994594585938676,6,59.659424544920725,2,3
random,0.1,6.0,2,1.0244149678825554,1.0,0,96.9583088667058,3,4
random,0.1,7.0,2,1.0050835296699179,0.9904345489403846,0,96.9583088667058,4,5
random,0.1,8.0,2,1.012242547608652,0.9634126118435411,4,62.56018790369935,2,3
random,0.1,9.0,2,0.9964555546980071,0.9720405868154517,1,80.04697592483852,3,4
random,0.15,0.0,3,1.0482893943589786,0.9994594585938676,4,61.92601291837933,2,3
random,0.15,1.0,3,0.9994594585938676,0.9750444907113123,6,54.73869641808573,3,4
random,0.15,2.0,3,0.9994594585938676,0.9750444907113123,1,79.10745742806812,3,4
random,0.15,3.0,3,1.0783284333175842,1.0294984975524735,1,85.5079271873165,2,3
random,0.15,4.0,3,1.0355063053441944,1.011091337461639,1,82.87727539635937,3,4
random,0.15,5.0,3,0.9994594585938676,0.9750444907113123,6,54.73869641808573,3,4
random,0.15,6.0,3,1.0843362411093054,1.0355063053441944,6,50.62830299471521,2,3
random,0.15,7.0,3,1.0518940790340114,1.0030641432689005,6,38.81385789782736,2,3
random,0.15,8.0,3,1.0294984975524735,1.0050835296699179,0,95.45507927187316,3,4
random,0.15,9.0,3,1.0183007068117043,1.0036517260821711,1,80.01174398120963,4,5
random,0.2,0.0,4,0.9786491753863451,0.9640001946568117,1,77.75689958896066,4,5
random,0.2,1.0,4,1.0355063053441944,1.011091337461639,1,78.76688197298884,3,4
random,0.2,2.0,4,1.0515271261221173,1.027112158239562,9,43.899001761597184,3,4
random,0.2,3.0,4,1.198383886329344,1.0518940790340114,5,45.66059894304169,1,2
random,0.2,4.0,4,1.0030641432689005,0.9786491753863451,6,56.18320610687023,3,4
random,0.2,5.0,4,1.0427156746942596,1.0183007068117043,1,89.5713446858485,3,4
random,0.2,6.0,4,0.9750444907113123,0.960395509981779,1,77.75689958896066,4,5
random,0.2,7.0,4,1.045285490463118,0.9964555546980071,3,61.77334116265414,2,3
random,0.2,8.0,4,0.9786491753863451,0.9640001946568117,6,41.30358191426894,4,5
random,0.2,9.0,4,0.9389976439609857,0.9243486632314524,4,58.44979448032883,4,5
degree,,,1,0.9720405868154517,0.9573916060859184,0,98.47328244274809,4,5
degree,,,2,0.9750444907113123,0.960395509981779,1,77.47504403992954,4,5
degree,,,3,0.9786491753863451,0.9640001946568117,6,51.55607751027599,4,5
degree,,,4,1.0562998047479402,1.0074698689828292,10,21.64415736934821,2,3
degree,,,5,1.012242547608652,0.9634126118435411,11,14.44509688784498,2,3
degree,,,6,1.012242547608652,0.9634126118435411,10,13.716970052847916,2,3
degree,,,7,1.012242547608652,0.9634126118435411,10,11.497357604227833,2,3
degree,,,8,1.1587323549039845,1.012242547608652,7,5.7310628302994715,1,2
betweenness,,,1,1.0783284333175842,1.0294984975524735,6,62.43100411039343,2,3
betweenness,,,2,1.0482893943589786,0.9994594585938676,5,58.52025836758661,2,3
betweenness,,,3,1.0030641432689005,0.9786491753863451,5,56.23018203170875,3,4
betweenness,,,4,0.9634126118435411,0.9389976439609857,5,43.76981796829125,3,4
betweenness,,,5,0.9138481975618419,0.8894332296792865,4,43.12389900176159,3,4
betweenness,,,6,0.9555975027152814,0.9067675669501707,8,19.201409277745153,2,3
betweenness,,,7,1.0926464691950524,0.9461566618997198,9,14.022313564298297,1,2
betweenness,,,8,1.079429292053266,0.9329394847579333,8,8.256018790369936,1,2
